Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-10-17,8556.0498046875,8685.099609375,8555.900390625,8677.900390625,216600,0.0,0.0
2016-10-18,8697.5,8698.75,8636.7001953125,8659.099609375,172100,0.0,0.0
2016-10-19,8693.349609375,8727.0,8678.2998046875,8699.400390625,161000,0.0,0.0
2016-10-20,8708.599609375,8709.099609375,8652.0498046875,8693.0498046875,157300,0.0,0.0
2016-10-24,8721.7001953125,8722.650390625,8663.4501953125,8691.2998046875,189800,0.0,0.0
2016-10-25,8657.2998046875,8657.2998046875,8596.599609375,8615.25,219300,0.0,0.0
2016-10-26,8607.099609375,8624.849609375,8550.25,8615.25,242800,0.0,0.0
2016-10-27,8625.0,8653.75,8581.75,8638.0,175500,0.0,0.0
2016-10-31,8653.150390625,8669.599609375,8614.5,8626.25,165000,0.0,0.0
2016-11-01,8542.7998046875,8549.5,8504.849609375,8514.0,155300,0.0,0.0
2016-11-02,8499.849609375,8537.650390625,8476.150390625,8484.9501953125,170500,0.0,0.0
2016-11-03,8503.599609375,8504.0,8400.25,8433.75,224800,0.0,0.0
2016-11-07,8540.0,8559.400390625,8480.099609375,8543.5498046875,195700,0.0,0.0
2016-11-08,8067.5,8476.2001953125,8002.25,8432.0,314300,0.0,0.0
2016-11-09,8555.599609375,8598.4501953125,8510.7001953125,8525.75,263100,0.0,0.0
2016-11-10,8456.650390625,8460.599609375,8284.9501953125,8296.2998046875,266900,0.0,0.0
2016-11-14,8284.849609375,8288.5498046875,8093.2001953125,8108.4501953125,359200,0.0,0.0
2016-11-15,8205.650390625,8210.0498046875,8089.39990234375,8111.60009765625,269500,0.0,0.0
2016-11-16,8105.10009765625,8151.25,8060.2998046875,8079.9501953125,191300,0.0,0.0
2016-11-17,8097.5498046875,8128.9501953125,8048.2998046875,8074.10009765625,161200,0.0,0.0
2016-11-21,7989.14990234375,8019.0498046875,7938.14990234375,8002.2998046875,210200,0.0,0.0
2016-11-22,8051.2001953125,8055.2001953125,7973.10009765625,8033.2998046875,181000,0.0,0.0
2016-11-23,8011.7998046875,8024.85009765625,7952.5498046875,7965.5,260500,0.0,0.0
2016-11-28,8131.5498046875,8197.349609375,8128.7001953125,8142.14990234375,189700,0.0,0.0
2016-11-29,8172.14990234375,8234.25,8139.25,8224.5,248000,0.0,0.0
2016-11-30,8244.0,8250.7998046875,8185.0498046875,8192.900390625,157700,0.0,0.0
2016-12-01,8153.5498046875,8159.2998046875,8070.0498046875,8086.7998046875,171500,0.0,0.0
2016-12-05,8153.14990234375,8178.7001953125,8130.85009765625,8143.14990234375,115300,0.0,0.0
2016-12-06,8168.39990234375,8190.4501953125,8077.5,8102.0498046875,169800,0.0,0.0
2016-12-07,8152.10009765625,8256.25,8151.75,8246.849609375,142500,0.0,0.0
2016-12-08,8271.7001953125,8274.9501953125,8241.9501953125,8261.75,149700,0.0,0.0
2016-12-12,8196.150390625,8228.849609375,8155.7998046875,8221.7998046875,184000,0.0,0.0
2016-12-13,8229.349609375,8229.400390625,8165.10009765625,8182.4501953125,144600,0.0,0.0
2016-12-14,8128.39990234375,8225.900390625,8121.9501953125,8153.60009765625,181800,0.0,0.0
2016-12-15,8178.2001953125,8178.7001953125,8127.4501953125,8139.4501953125,203000,0.0,0.0
2016-12-19,8110.60009765625,8124.10009765625,8062.75,8082.39990234375,128000,0.0,0.0
2016-12-20,8105.85009765625,8112.5498046875,8053.25,8061.2998046875,123700,0.0,0.0
2016-12-21,8043.85009765625,8046.4501953125,7964.9501953125,7979.10009765625,122600,0.0,0.0
2016-12-22,7972.5,8022.60009765625,7942.0498046875,7985.75,124100,0.0,0.0
2016-12-27,8047.5498046875,8100.5498046875,8028.39990234375,8034.85009765625,126700,0.0,0.0
2016-12-28,8030.60009765625,8111.10009765625,8020.7998046875,8103.60009765625,178500,0.0,0.0
2016-12-29,8119.64990234375,8197.0,8114.75,8185.7998046875,127600,0.0,0.0
2017-01-03,8202.650390625,8218.5,8180.89990234375,8190.5,132400,0.0,0.0
2017-01-04,8226.650390625,8282.650390625,8223.7001953125,8273.7998046875,159100,0.0,0.0
2017-01-05,8281.849609375,8306.849609375,8233.25,8243.7998046875,139400,0.0,0.0
2017-01-09,8262.7001953125,8293.7998046875,8261.0,8288.599609375,142900,0.0,0.0
2017-01-10,8327.7998046875,8389.0,8322.25,8380.650390625,186500,0.0,0.0
2017-01-11,8391.0498046875,8417.2001953125,8382.2998046875,8407.2001953125,172600,0.0,0.0
2017-01-12,8457.650390625,8461.0498046875,8373.150390625,8400.349609375,185300,0.0,0.0
2017-01-17,8403.849609375,8460.2998046875,8397.400390625,8417.0,163800,0.0,0.0
2017-01-18,8418.400390625,8445.150390625,8404.0498046875,8435.099609375,165900,0.0,0.0
2017-01-19,8404.349609375,8423.650390625,8340.9501953125,8349.349609375,202600,0.0,0.0
2017-01-23,8407.0498046875,8480.9501953125,8398.150390625,8475.7998046875,179200,0.0,0.0
2017-01-24,8499.4501953125,8612.599609375,8493.9501953125,8602.75,292500,0.0,0.0
2017-01-26,8610.5,8672.7001953125,8606.900390625,8641.25,275400,0.0,0.0
2017-01-30,8629.4501953125,8631.75,8552.400390625,8561.2998046875,521000,0.0,0.0
2017-01-31,8570.349609375,8722.400390625,8537.5,8716.400390625,327700,0.0,0.0
2017-02-01,8724.75,8757.599609375,8685.7998046875,8734.25,283500,0.0,0.0
2017-02-02,8735.150390625,8748.25,8707.75,8740.9501953125,191000,0.0,0.0
2017-02-06,8805.7001953125,8809.2998046875,8741.0498046875,8768.2998046875,226300,0.0,0.0
2017-02-07,8774.5498046875,8791.25,8715.0,8769.0498046875,218700,0.0,0.0
